Date,Open,High,Low,Close,Volume,Market Cap,MSTR Stock,PYPL_Stock,BDT_Stock
2020-07-31,11110.21,11415.86,10987.05,11323.47,23160469766,2.09E+11,123.92,196.07,6740
2020-08-01,11322.57,11794.78,11239.68,11759.59,26075670303,2.17E+11,123.92,197.07,6740
2020-08-02,11758.76,12034.14,11018.13,11053.61,27410067336,2.04E+11,123.92,197.07,6740
2020-08-03,11043.77,11453.08,11012.41,11246.35,20271713443,2.08E+11,123.66,197.07,7070
2020-08-04,11246.2,11385.38,11094.15,11205.89,21250197042,2.07E+11,123.32,197.33,7060
2020-08-05,11203.82,11786.62,11158.29,11747.02,24411254471,2.17E+11,123.95,202.91,6940
2020-08-06,11749.87,11902.34,11598.71,11779.77,23400740340,2.17E+11,123.35,204.09,7000
2020-08-07,11778.89,11898.04,11408.59,11601.47,23132312867,2.14E+11,123.39,198.63,7670
2020-08-08,11604.55,11800.06,11558.43,11754.05,17572057837,2.17E+11,123.39,193.32,7670
2020-08-09,11737.33,11806.06,11548.78,11675.74,17489608833,2.15E+11,123.39,193.32,7670
2020-08-10,11662.26,12045.14,11662.26,11878.11,26114112569,2.19E+11,123.62,193.32,7700
2020-08-11,11881.65,11932.71,11195.71,11410.53,27039782640,2.11E+11,134.89,189.03,7480
2020-08-12,11404.6,11748.4,11249.61,11584.93,25064548486,2.14E+11,137.04,191.32,6960
2020-08-13,11588.41,11796.4,11216.87,11784.14,27522199497,2.18E+11,137,193.07,6980
2020-08-14,11772.66,12150.99,11685.46,11768.87,24237958589,2.17E+11,146.63,191.46,6950
2020-08-15,11768.7,11963.2,11768.7,11865.7,23354924400,2.19E+11,146.63,196.29,6950
2020-08-16,11866.69,11934.9,11737.19,11892.8,20583375490,2.20E+11,146.63,196.29,6950
2020-08-17,11895.66,12359.06,11806.7,12254.4,28227687027,2.26E+11,143.84,196.29,6950
2020-08-18,12251.9,12335.71,11954.53,11991.23,26043227672,2.21E+11,143.14,194.57,6710
2020-08-19,11990.88,12028.92,11687.33,11758.28,24502851117,2.17E+11,141.67,192.44,6630
2020-08-20,11761.5,11900.41,11710.06,11878.37,20175242945,2.19E+11,144.14,198.18,6400
2020-08-21,11878.03,11899.26,11564.98,11592.49,23762425999,2.14E+11,145.08,196.79,6400
2020-08-22,11585.48,11689.41,11448.81,11681.83,20224191306,2.16E+11,145.08,198.88,6400
2020-08-23,11679.7,11713.43,11559.92,11664.85,18482062658,2.15E+11,145.08,198.88,6400
2020-08-24,11663.69,11807.63,11623.25,11774.6,20681511755,2.17E+11,148.58,198.88,6270
2020-08-25,11773.59,11778.3,11189.85,11366.14,26301509932,2.10E+11,146.96,201.67,6380
2020-08-26,11366.89,11530.05,11296.99,11488.36,22466660958,2.12E+11,146.06,203.48,6230
2020-08-27,11485.61,11570.79,11185.94,11323.4,23240415076,2.09E+11,146.52,204.34,6230
2020-08-28,11325.3,11545.62,11316.42,11542.5,19807127588,2.13E+11,146.89,204.48,6240
2020-08-29,11541.05,11585.64,11466.29,11506.87,17485597759,2.13E+11,146.89,204.14,6240
2020-08-30,11508.71,11715.26,11492.38,11711.51,19760127945,2.16E+11,146.89,204.14,6240
2020-08-31,11713.31,11768.88,11598.32,11680.82,22285928250,2.16E+11,144.44,204.14,6300
2020-09-01,11679.32,12067.08,11601.13,11970.48,27311555343,2.21E+11,148.82,208.93,6500
2020-09-02,11964.82,11964.82,11290.79,11414.03,28037405299,2.11E+11,150,210.82,6480
2020-09-03,11407.19,11443.02,10182.47,10245.3,31927261555,1.89E+11,144.28,204.99,6260
2020-09-04,10230.37,10663.92,10207.94,10511.81,29965130374,1.94E+11,142.19,191.84,5990
2020-09-05,10512.53,10581.57,9946.68,10169.57,44916565292,1.88E+11,142.19,185.95,5990
2020-09-06,10167.22,10353.93,10056.89,10280.35,37071460174,1.90E+11,142.19,185.95,5990
2020-09-07,10281,10399.15,9916.49,10369.56,33703098409,1.92E+11,142.19,185.95,6010
2020-09-08,10369.31,10414.78,9945.11,10131.52,33430927462,1.87E+11,138.82,185.95,6000
2020-09-09,10134.15,10350.54,10017.25,10242.35,24128292755,1.89E+11,141.15,194.6,5880
2020-09-10,10242.33,10503.91,10238.14,10363.14,54406443211,1.92E+11,139.72,190.09,5920
2020-09-11,10369.03,10434.92,10140.84,10400.91,45201121775,1.92E+11,141.13,184,6090
2020-09-12,10409.86,10578.84,10292.39,10442.17,36750077324,1.93E+11,141.13,186.96,6090
2020-09-13,10452.4,10577.22,10224.33,10323.76,36506852789,1.91E+11,141.13,186.96,6090
2020-09-14,10328.73,10800.01,10266.01,10680.84,35453581940,1.97E+11,142.62,186.96,6010
2020-09-15,10677.75,10938.63,10656.46,10796.95,32509451925,2.00E+11,155.75,186.02,6030
2020-09-16,10797.76,11100.12,10704.88,10974.9,30769986455,2.03E+11,174.9,180.91,5980
2020-09-17,10973.25,11037.42,10774.63,10948.99,38151810523,2.02E+11,163.61,175.79,5980
2020-09-18,10951.82,11034.91,10829.66,10944.59,26341903912,2.02E+11,159.59,176.07,5900
2020-09-19,10933.75,11134.09,10909.62,11094.35,22764204008,2.05E+11,159.59,183.21,5900
2020-09-20,11095.87,11095.87,10814.48,10938.27,24699523788,2.02E+11,159.59,183.21,5900
2020-09-21,10934.93,10988.3,10380.26,10462.26,28884999244,1.94E+11,152.16,183.21,5810
2020-09-22,10459.62,10568.08,10382.73,10538.46,23621787804,1.95E+11,154.25,187.78,5660
2020-09-23,10535.49,10537.83,10197.86,10246.19,23788661867,1.90E+11,148.28,181.61,5550
2020-09-24,10248.79,10771.06,10231.49,10760.07,47144380902,1.99E+11,146.06,182.19,5570
2020-09-25,10761.11,10777.7,10578.91,10692.72,39348590957,1.98E+11,146.13,187.25,5860
2020-09-26,10695.58,10773,10667.28,10750.72,46852525493,1.99E+11,146.13,192.02,5860
