Date,Open,High,Low,Close,Volume,Market Cap
2019-09-17,10281.51,10296.77,10199.74,10241.27,15304603363,1.84E+11
2019-09-18,10247.8,10275.93,10191.47,10198.25,16169268880,1.83E+11
2019-09-19,10200.5,10295.67,9851.69,10266.41,19937691247,1.84E+11
2019-09-20,10266.32,10285.87,10132.19,10181.64,14734189639,1.83E+11
2019-09-21,10183.65,10188.1,10000.71,10019.72,13425266806,1.80E+11
2019-09-22,10024.12,10074.44,9922.53,10070.39,13199651698,1.81E+11
2019-09-23,10067.96,10074.24,9727.14,9729.32,15144925408,1.75E+11
2019-09-24,9729.32,9804.32,8370.8,8620.57,25002886689,1.55E+11
2019-09-25,8603.43,8744.83,8325.4,8486.99,21744728353,1.52E+11
2019-09-26,8487.67,8515.69,7895.63,8118.97,19258205289,1.46E+11
2019-09-27,8113.1,8271.52,7965.92,8251.85,16408941156,1.48E+11
2019-09-28,8251.27,8285.62,8125.43,8245.92,14141152736,1.48E+11
2019-09-29,8246.04,8261.71,7990.5,8104.19,13034629109,1.46E+11
2019-09-30,8104.23,8314.23,7830.76,8293.87,17115474183,1.49E+11
2019-10-01,8299.72,8497.69,8232.68,8343.28,15305343413,1.50E+11
2019-10-02,8344.21,8393.04,8227.7,8393.04,13125712443,1.51E+11
2019-10-03,8390.77,8414.23,8146.44,8259.99,13668823409,1.48E+11
2019-10-04,8259.49,8260.06,8151.24,8205.94,13139456229,1.47E+11
2019-10-05,8210.15,8215.53,8071.12,8151.5,12200497197,1.47E+11
2019-10-06,8149.88,8161.41,7958.85,7988.16,13160830305,1.44E+11
2019-10-07,7989.12,8308.45,7905.77,8245.62,18009742607,1.48E+11
2019-10-08,8246.85,8332.72,8185.76,8228.78,15592264032,1.48E+11
2019-10-09,8229.84,8627.71,8169.3,8595.74,19384942333,1.55E+11
2019-10-10,8585.28,8625.27,8471.93,8586.47,17618660671,1.54E+11
2019-10-11,8585.26,8721.78,8316.18,8321.76,19604381101,1.50E+11
2019-10-12,8315.66,8415.24,8313.34,8336.56,14532641605,1.50E+11
2019-10-13,8336.9,8470.99,8276.61,8321.01,13808286059,1.50E+11
2019-10-14,8320.83,8390.21,8284.13,8374.69,15151387859,1.51E+11
2019-10-15,8373.46,8410.71,8182.71,8205.37,15220412632,1.48E+11
2019-10-16,8204.67,8216.81,7985.09,8047.53,16071646996,1.45E+11
2019-10-17,8047.81,8134.83,8000.94,8103.91,14313052244,1.46E+11
2019-10-18,8100.93,8138.41,7902.16,7973.21,15651592610,1.44E+11
2019-10-19,7973.8,8082.63,7944.78,7988.56,13797825640,1.44E+11
2019-10-20,7997.81,8281.82,7949.44,8222.08,15504249442,1.48E+11
2019-10-21,8225.12,8296.69,8196.42,8243.72,15868748866,1.48E+11
2019-10-22,8243.4,8296.65,8074.46,8078.2,16803377857,1.45E+11
2019-10-23,8076.23,8093,7469.32,7514.67,21942878958,1.35E+11
2019-10-24,7509.73,7532.87,7446.99,7493.49,16268708849,1.35E+11
2019-10-25,7490.7,8691.54,7479.98,8660.7,28705065488,1.56E+11
2019-10-26,8667.58,10021.74,8662.62,9244.97,44496255609,1.67E+11
2019-10-27,9241.71,9749.53,9112.54,9551.71,32593129501,1.72E+11
2019-10-28,9565.1,9805.12,9256.15,9256.15,30948255332,1.67E+11
2019-10-29,9248.44,9516.18,9232.65,9427.69,28426779937,1.70E+11
2019-10-30,9422.46,9426.87,9085.37,9205.73,27706531577,1.66E+11
2019-10-31,9202.46,9383.16,9028.72,9199.58,26583653947,1.66E+11
2019-11-01,9193.99,9275.66,9132.05,9261.1,24324691031,1.67E+11
2019-11-02,9259.78,9377.49,9249.59,9324.72,21242676385,1.68E+11
2019-11-03,9324.79,9379.81,9141.25,9235.35,21132220847,1.66E+11
2019-11-04,9235.61,9505.05,9191.49,9412.61,26170255634,1.70E+11
2019-11-05,9413,9457.42,9256.93,9342.53,26198609048,1.68E+11
2019-11-06,9340.86,9423.24,9305.91,9360.88,23133895765,1.69E+11
2019-11-07,9352.39,9368.48,9202.35,9267.56,22700383839,1.67E+11
2019-11-08,9265.37,9272.76,8775.53,8804.88,24333037836,1.59E+11
2019-11-09,8809.47,8891.82,8793.16,8813.58,17578630606,1.59E+11
2019-11-10,8812.49,9103.83,8806.16,9055.53,20587919881,1.63E+11
2019-11-11,9056.92,9081.28,8700.61,8757.79,20265510765,1.58E+11
2019-11-12,8759.75,8853.77,8685.43,8815.66,20309769107,1.59E+11
